動畫名稱,ID,集數,年份,季節,字幕組
氣絕勇者與暗殺公主,1687,1-12,2025,夏,
破爛千金被姊姊的原婚約者溺愛著,1686,1-12,2025,夏,
徹夜之歌 Season 2(第二季),1685,1-12+SP,2025,夏,星空
膽大黨 第二季,1679,1-12,2025,夏,
歡迎光臨流放者食堂！,1681,1-12,2025,夏,
歌聲是法式千層酥,1718,1-10,2025,夏,
為你著迷,1727,1-5,2025,夏,
陰陽迴天 Re:Birth Verse,1678,1-12,2025,夏,
帝乃三姊妹意外地容易相處。,1713,1-12,2025,夏,
出租女友 第四季,1728,1-12,2025,夏,
外星人姆姆,1652,1-24,2025,春,
Clevatess -魔獸之王與嬰兒與屍之勇者-,1677,1-12,2025,夏,
最近的偵探真沒用,1675,1-12,2025,夏,
"<a href=""https://anime1.pw/?cat=52"">做到懷孕為止的婚姻(定孕成婚)</a>",0,1-8,2025,夏,桜都
轉生成貓咪的大叔,1557,1-48,2024,秋,
人妻的嘴唇嚐起來有罐裝沙瓦的味道,1676,1-9,2025,夏,桜都
強者的新傳說,1726,連載中(04),2025,夏,黑白
九龍大眾浪漫,1634,1-13,2025,春,
章魚嗶的原罪,1673,1-6,2025,夏,SweetSub
推理要在晚餐後,1725,1-12,2025,春,櫻桃花
"<a href=""https://anime1.pw/?cat=50"">「只讓你摸1分鐘哦…」分租雅房不能說的祕密規定。</a>",0,1-8,2025,冬,桜都
末日後酒店,1661,1-12,2025,春,喵萌奶茶屋
正義使者 -我的英雄學院之非法英雄-,1648,1-13,2025,春,
華Doll* -Reinterpretation of Flowering-,1654,1-12,2025,春,
LAZARUS 拉撒路,1642,1-13,2025,春,
轉生為白豬貴族的我，運用前世記憶養育雛鳥般的弟弟,1669,1-12,2025,春,
藥師少女的獨語 第二季,1598,25-48,2025,冬,豌豆
歲月流逝飯菜依舊美味,1659,1-12,2025,春,喵萌奶茶屋
mono女孩,1660,1-12,2025,春,桜都
Classic★Stars – 古典樂★之星,1637,1-13,2025,春,
離開A級隊伍的我，和從前的弟子往迷宮深處邁進,1600,1-24,2025,冬,
黑執事 -綠之魔女篇-,1636,1-13,2025,春,豌豆
神統記,1657,1-12,2025,春,
機動戰士Gundam GQuuuuuuX,1667,1-12,2025,春,SweetSub
搖滾樂是淑女的嗜好,1628,1-13,2025,春,
忍者與殺手的兩人生活,1655,1-12,2025,春,喵萌奶茶屋
這是妳與我的最後戰場，或是開創世界的聖戰 Season II (第二季),1505,1-12,2024,夏,
記憶縫線 YOUR FORMA,1624,1-13,2025,春,喵萌奶茶屋
全力兔 第二季,1653,1-12,2025,春,
紫雲寺家的兄弟姊妹,1651,1-12,2025,春,漫貓
受到猩猩之神庇佑的大小姐受到王立騎士團寵愛,1658,1-12,2025,春,六四位元
鄉下大叔成為劍聖,1666,1-12,2025,春,
中禪寺老師妖怪講義錄 解謎就交給老師。,1650,1-12,2025,春,
隨興旅 -That’s Journey-,1618,1-12,2025,春,喵萌奶茶屋
不會拿捏距離的阿波連同學 第二季,1649,1-12,2025,春,喵萌奶茶屋
