動畫名稱,ID,集數,年份,季節,字幕組
相合之物,1023,1-12,2022,春,喵萌奶茶屋
勇者、辭職不幹了,1019,1-12,2022,春,-
Healer Girls 歌愈少女,1018,1-12,2022,春,喵萌奶茶屋
雀魂 PONG☆,1027,1-11,2022,春,桜都
舞動不止,1037,1-11,2022,春,喵萌奶茶屋
女性向遊戲世界對路人角色很不友好,1017,1-12,2022,春,-
理科生墜入情網，故嘗試證明。r=1-sinθ(第二季),1009,1-12,2022,春,-
不會拿捏距離的阿波連同學,1010,1-12,2022,春,喵萌奶茶屋
處刑少女的生存之道,1008,1-12,2022,春,悠哈璃羽
"<a href=""https://anime1.pw/?cat=25"">3秒後，野獸。～坐在聯誼會角落的他是個肉食系</a>",0,1-8,2022,春,桜都
派對咖孔明,1012,1-12,2022,春,喵萌奶茶屋
小書痴的下剋上：為了成為圖書管理員不擇手段！ 第三季,1046,27-36,2022,春,-
Estab-Life: Great Escape,1028,1-12,2022,春,喵萌奶茶屋
真·一騎當千,1056,1-3,2022,春,幻櫻不夠熱
龍與雀斑公主,1054,劇場版,2021,夏,喵萌奶茶屋
泡泡,1053,劇場版,2022,春,喵萌奶茶屋
悠悠哉哉少女日和 Nonstop(第三季),824,1-12+13,2021,冬,喵萌奶茶屋
黃金拼圖 Thank you!!,1052,劇場版,2021,夏,喵萌奶茶屋
闇影詩章 烈焰,1051,連載中(02),2022,春,喵魯
白領羽球部,1005,1-12,2022,冬,星空
國王排名,973,1-23,2021,秋,悠哈璃羽
東京24區,980,1-12,2022,冬,極影
魔法紀錄 魔法少女小圓外傳 FINAL SEASON -淺夢的黎明-,1020,1-4,2022,春,SweetSub&圓環記錄攻略組
夢夢貓(甜夢貓) Mix!,888,1-50,2021,春,星空
超異域公主連結 Re:Dive 第二季,1000,1-12,2022,冬,桜都
現實主義勇者的王國重建記,905,1-26,2021/2022,2021夏/2022冬,喵萌奶茶屋
魔法紀錄 魔法少女小圓外傳 第二季 -覺醒前夜-,926,1-8,2021,夏,SweetSub&圓環記錄攻略組
白金終局(Platinum End),975,1-24,2021,秋,桜都
怪人開發部的黑井津小姐,987,1-12,2022,冬,喵萌奶茶屋
SLOW LOOP-女孩的釣魚慢活-,983,1-12,2022,冬,桜都
瓦尼塔斯的手札,898,1-24,2021,夏,Dymy
最遊記 RELOAD -ZEROIN-,982,1-13,2022,冬,-
相愛相殺,1001,1-12,2022,冬,-
秘密內幕～女警的反擊～,979,1-13,2022,冬,-
與變成了異世界美少女的大叔一起冒險,999,1-12,2022,冬,-
自稱賢者弟子的賢者,998,1-12,2022,冬,桜都
天才王子的赤字國家重生術,997,1-12,2022,冬,
食鏽末世錄,995,1-12,2022,冬,Amor
幻想三國誌 -天元靈心記-,996,1-12,2022,冬,-
TRIBE NINE,994,1-12,2022,冬,-
Futsal Boys!!!!!,992,1-12,2022,冬,-
半妖的夜叉姬 第二季,940,1-24,2021,秋,極影
魯邦三世 PART6,971,0-24,2021,秋,動漫國
明日同學的水手服,986,1-12,2022,冬,悠哈璃羽
戀上換裝娃娃,988,1-12,2022,冬,幻櫻
失格紋的最強賢者,989,1-12,2022,冬,-
擅長捉弄人的高木同學 第三季,985,1-12,2022,冬,悠哈璃羽
少女前線,984,1-12,2022,冬,喵萌奶茶屋
里亞德錄大地,1002,1-12,2022,冬,-
加油吧同期醬,931,1-12+13,2021,秋,幻櫻
ORIENT 東方少年,978,1-12,2022,冬,-
"<a href=""https://anime1.pw/?cat=23"">王子的本命是反派大小姐</a>",0,1-8,2022,冬,桜都
86－不存在的戰區－,874,1-23,2021,春/秋,桜都
終末的後宮,956,1-11,2021,秋,桜都
世界計畫！繽紛舞台 feat. 初音未來 迷你動畫,1004,1-10,2022,冬,MCE漢化組
迷宮標記者(SAKUGAN),961,1-12,2021,秋,喵萌奶茶屋
無職轉生～到了異世界就拿出真本事～,820,1-24,2021,冬/秋,喵萌奶茶屋
Irodorimidori,981,1-8,2022,冬,喵萌奶茶屋
星期一的豐滿 第二季,932,1-12+13,2021,秋,幻櫻
鬼滅之刃 遊郭篇,976,1-11,2022,冬,豌豆&風之聖殿
Tropical-Rouge！光之美少女,840,1-46,2021,冬,雪飄
小林家的龍女僕S(第二季),913,1-12+13,2021,夏,星空
舞伎家的料理人,846,1-12,2021,冬,千夏
D4DJ First Mix,891,1-13,2020,秋,喵萌奶茶屋
百萬噸級武藏,974,1-13,2021,秋,喵萌奶茶屋
180 秒能讓你的耳朵感到幸福嗎？,969,1-12,2021,秋,桜都
因為不是真正的夥伴而被逐出勇者隊伍，流落到邊境展開慢活人生,962,1-13,2021,秋,LoliHouse
空色Utility,977,1,2022,冬,喵萌奶茶屋
世界盡頭的聖騎士,958,1-12,2021,秋,
轉生成女性向遊戲只有毀滅END的壞人大小姐X(第二季),900,1-12+OAD,2021,夏,星空
卡片戰鬥!! 先導者 overDress 第二季,948,1-13,2021,秋,
狂熱深淵-迷失的孩子,967,1-12,2021,秋,LoliHouse
鍵等,968,1-12,2021,秋,-
逆轉世界的電池少女,966,1-12,2021,秋,喵萌奶茶屋
境界戰機,946,1-13,2021,秋,-
前輩有夠煩,959,1-12,2021,秋,動漫國
BUILD DIVIDE -#000000（CODE：BLACK）-,963,1-12,2021,秋,
VISUAL PRISON 視覺監獄,953,1-12,2021,秋,
大正處女御伽話,954,1-12,2021,秋,
SELECTION PROJECT,936,1-13,2021,秋,喵萌奶茶屋
古見同學有交流障礙症。,952,1-12,2021,秋,幻櫻
緋紅結繫,895,1-26,2021,夏,-
世界頂尖的暗殺者轉生為異世界貴族,949,1-12,2021,秋,LoliHouse
Muv-Luv Alternative,951,1-12,2021,秋,雪飄
橘色榮耀！,950,1-12,2021,秋,LoliHouse
宿命迴響：命運節拍,947,1-12,2021,秋,喵萌奶茶屋
進化果實～不知不覺踏上勝利的人生～,945,1-12,2021,秋,
吸血鬼馬上死,944,1-12,2021,秋,愛戀&漫貓
四季櫻,964,1-12,2021,秋,-
陰陽眼見子,941,1-12,2021,秋,愛戀&漫貓
月與萊卡與吸血公主,942,1-12,2021,秋,動漫國
賈希大人不氣餒！,927,1-20,2021,夏,喵萌奶茶屋
萬能戰士無比敵(MUTEKING THE Dancing HERO),970,1-12,2021,秋,
燒窯的話也要馬克杯 第二季,955,1-12,2021,秋,-
結城友奈是勇者 大滿開之章,939,1-12,2021,秋,雪飄
異世界食堂 2,938,1-12,2021,秋,極影
三角窗外是黑夜,943,1-12,2021,秋,幻櫻
白沙的Aquatope,914,1-24,2021,夏,桜都
藍色時期,934,1-12,2021,秋,SweetSub
鬼滅之刃 無限列車篇,960,1-7,2021,秋,豌豆&風之聖殿
獻身給魔王伊伏洛基亞吧,937,1-9,2021,秋,桜都
平家物語,935,1-11,2021,秋,千夏
Deji meets girl(女孩遇見男孩),972,連載中(05),2021,秋,愛戀&漫貓
海賊王女,929,1-12,2021,夏,喵萌奶茶屋
王者天下 第三季,892,1-26,2021,春,豌豆
Love Live! Superstar!!,918,1-12,2021,夏,喵萌奶茶屋
暗夜第六感 NIGHT HEAD 2041,928,1-12,2021,夏,幻櫻
D_CIDE TRAUMEREI THE ANIMATION,923,1-13,2021,夏,喵萌奶茶屋
EDENS ZERO,881,1-25,2021,春,動漫國
RE-MAIN,906,1-12,2021,夏,星空
漂流少年(Sonny Boy),922,1-12,2021,夏,喵萌奶茶屋
暮蟬悲鳴時 卒,897,1-15,2021,夏,極影
平穩世代的韋駄天們,924,1-11,2021,夏,-
急戰5秒殊死鬥,920,1-12,2021,夏,-
陰晴不定的體操哥哥,919,1-13,2021,夏,酷漫404
數碼寶貝大冒險：,711,1-67,2020,春,馴獸師聯盟
恐龍莊日和,862,1-26,2021,春,桜都
蓋特機器人 ARC,908,1-13,2021,夏,-
歌劇少女！,904,1-13,2021,夏,喵萌奶茶屋
魔法科高中的優等生,903,1-13,2021,夏,澄空學園&動漫國
我們的重製人生,902,1-12,2021,夏,動漫國
我的英雄學院 第五季,842,1-25,2021,春,-
BLUE REFLECTION：澪,872,1-24,2021,春,-
八月的棒球甜心,526,1-13,2019,春,-
暗黑企業的迷宮,915,1-12,2021,夏,喵萌奶茶屋
我立於百萬生命之上 第二季,916,13-24,2021,夏,
開掛藥師的異世界悠閒生活～到異世界開藥房去～,912,1-12,2021,夏,桜都
月光下的異世界之旅,911,1-12,2021,夏,-
關於我轉生變成史萊姆這檔事 第二季,798,0-24,2021,冬,
精靈幻想記,910,1-12,2021,夏,LoliHouse
偵探已經，死了。,909,1-12,2021,夏,喵萌奶茶屋
死神少爺與黑女僕,907,1-12,2021,夏,喵萌奶茶屋
東京復仇者,876,1-24,2021,春,-
女朋友 and 女朋友 (女友成雙),901,1-12,2021,夏,極影
叫我對大哥,899,1-12,2021,夏,幻櫻
桃子男孩渡海而來,896,1-12,2021,夏,喵萌奶茶屋
女神宿舍的管理員。,921,1-10,2021,夏,幻櫻
入間同學入魔了！ 第二季,889,1-21,2021,春,桜都
勇者鬥惡龍 達伊的大冒險,769,連載中(41),2020,秋,極影
給不滅的你,880,1-20,2021,春,幻櫻
言語如蘇打般湧現,925,劇場版,2021,夏,星空
噬血狂襲 OVA 第四季,775,1-12,2020,春,鈴風/神楓
奇巧計程車,863,1-13,2021,春,幻櫻
SHADOWS HOUSE -影宅-,875,1-13,2021,春,幻櫻
轉生成蜘蛛又怎樣！,811,1-24,2021,冬,八重櫻
美少年偵探團,877,1-12,2021,春,SweetSub
結城友奈是勇者 啾嚕！,890,1-12,2021,春,雪飄
WONDER EGG PRIORITY(奇蛋物語),829,1-12+SP,2021,冬,喵萌奶茶屋
大運動會 ReSTART!,886,1-12,2021,春,-
青梅竹馬絕對不會輸的戀愛喜劇,887,1-12,2021,春,千夏
幻影天使 (魔法水果籃) 最終季,883,1-13,2021,春,喵萌奶茶屋
不要欺負我，長瀞同學,885,1-12,2021,春,悠哈璃羽
MARS RED,884,1-13,2021,春,-
刮掉鬍子的我與撿到的女高中生,861,1-13,2021,春,喵萌奶茶屋
再見了，我的克拉默,857,1-13,2021,春,極影
偶像學園Planet！,830,1-25,2021,冬,雪飄
憂國的莫里亞蒂 第二季,855,1-13,2021,春,
NOMAD MEGALO BOX 機甲拳擊 第二季,856,1-13,2021,春,Dymy
Vivy -Fluorite Eye’s Song-,852,1-13+13.5,2021,春,喵萌奶茶屋
卡片戰鬥!! 先導者 overDress,851,1-12,2021,春,-
持續狩獵史萊姆三百年，不知不覺就練到 LV MAX,873,1-12,2021,春,
美麗新世界 The Animation,871,1-12,2021,春,-
後空翻少年!!,869,1-12,2021,春,-
佐賀偶像是傳奇 捲土重來(第二季),867,1-12,2021,春,極影
Fairy蘭丸,868,1-12,2021,春,-
七大罪 憤怒的審判 (第四季),832,1-24,2021,冬,豌豆
本田小狼與我,866,1-12,2021,春,SweetSub
如果究極進化的完全潛行 RPG 比現實還更像垃圾遊戲的話,843,1-12,2021,春,-
關於我轉生變成史萊姆這檔事 轉生史萊姆日記,864,1-12,2021,春,-
聖女魔力無所不能,865,1-12,2021,春,喵萌奶茶屋
燒窯的話也要馬克杯,860,1-12,2021,春,-
龍先生，想要買個家。,854,1-12,2021,春,愛戀&漫貓
七騎士 革命 -英雄的繼承者-,858,1-12,2021,春,-
戰鬥員派遣中！,853,1-12,2021,春,幻櫻
哥吉拉 奇異點,870,1-13,2021,春,星空
真白之音,850,1-12,2021,春,鈴風
灼熱卡巴迪,849,1-12,2021,春,-
BACK ARROW,812,1-24,2021,冬,喵萌奶茶屋
SSSS.DYNAZENON,847,1-12,2021,春,星空
鬼滅之刃劇場版 無限列車篇,893,劇場版,2020,秋,豌豆&風之聖殿
義呆利 Axis Powers World★Stars,845,1-12,2021,春,悠哈璃羽
擾亂 THE PRINCESS OF SNOW AND BLOOD,844,1-12,2021,春,-
如果這叫愛情感覺會很噁心 ,859,1-12,2021,春,-
異世界魔王與召喚少女的奴隸魔術Ω(第二季),878,1-10,2021,春,桜都
輝夜姬想讓人告白？～天才們的戀愛頭腦戰～ (第二季),726,1-12+OVA,2020,春,桜都
"<a href=""https://anime1.pw/?cat=20"">變身成黑辣妹之後就和死黨上床了</a>",0,1-8,2021,春,桜都
VLAD LOVE(吸血鬼之愛),839,1-12,2021,冬,喵萌奶茶屋
境界觸發者 2nd season(第二季),838,1-12,2021,冬,-
夢夢貓(甜夢貓),727,1-48,2020,春,星空
SK∞ the Infinity,818,1-12,2021,冬,-
堀與宮村,816,1-13,2021,冬,千夏
Praeter 之傷,813,1-13,2021,冬,-
Fate/stay night [Heaven’s Feel] III.春櫻之歌,848,劇場版,2020,夏,幻之
天地創造設計部,805,1-12+SP,2021,冬,幻櫻
搖曳露營△ SEASON2(第二季),804,1-13,2021,冬,愛戀&漫貓
記錄的地平線 圓桌崩壞(第三季),834,1-12,2021,冬,極影
碧藍航線 微速前進！,794,1-12,2021,冬,喵萌奶茶屋
回復術士的重啟人生,833,1-12,2021,冬,幻櫻
黑色五葉草,214,1-170,2017,秋,動漫花園
世界魔女出動！,831,1-12,2021,冬,-
文豪野犬 (文豪Stray Dogs) 汪！,828,1-12,2021,冬,極影
弩級戰隊HXEROS,733,1-12+OAD1-2,2020,夏,桜都
養狗與貓每天都很開心,764,1-24,2020,秋,幻櫻
賽馬娘Pretty Derby Season 2(第二季),819,1-13,2021,冬,雪飄
EX-ARM,822,1-12,2021,冬,-
怪物事變,821,1-12,2021,冬,喵萌奶茶屋
怪病醫拉姆尼,817,1-12,2021,冬,-
WIXOSS DIVA(A)LIVE,836,1-12,2021,冬,SweetSub
咒術迴戰,781,1-24,2020,秋,豌豆&風之聖殿
BEASTARS 第二季,809,1-12,2021,冬,喵萌奶茶屋
只有我能進入的隱藏迷宮,827,1-12,2021,冬,喵萌奶茶屋
約定的夢幻島 第二季,799,1-11,2021,冬,豌豆&風之聖殿
弱角友崎同學,810,1-12,2021,冬,喵萌奶茶屋
Dr.STONE 新石紀 STONE WARS(第二季),835,1-11,2021,冬,豌豆&風之聖殿
2.43 清陰高中男子排球社,808,1-12,2021,冬,-
五等分的新娘∬(第二季),807,1-12,2021,冬,星空
SHOW BY ROCK!! STARS!!,806,1-12,2021,冬,-
演劇偶像,800,1-12+OVA,2021,冬,喵萌奶茶屋
偶像榮耀 IDOLY PRIDE,825,1-12,2021,冬,喵萌奶茶屋
ICHU 偶像進行曲,801,1-12,2021,冬,-
Hortensia SAGA 蒼之騎士團,803,1-12,2021,冬,-
裝甲娘戰機,802,1-12,2021,冬,漫游
Re:從零開始的異世界生活 第二季,738,1-25,2020/2021,2020夏/2021冬,動漫國&KNA&輕之國度
真・中華一番！ 第二季,826,1-12,2021,冬,-
裏世界遠足,797,1-12,2021,冬,極影
比方說，這是個出身魔王關附近的少年在新手村生活的故事,796,1-12,2021,冬,-
工作細胞BLACK,815,1-13,2021,冬,喵萌奶茶屋
半妖的夜叉姬,776,1-24,2020,秋,喵萌奶茶屋
暮蟬悲鳴時 業,787,1-24,2020,秋,極影
闇影詩章,717,1-48,2020,春,桜都
花樣滑冰Stars,823,1-12,2021,冬,星空
阿松 第三季,791,1-25,2020,秋,西農YUI&DAY
工作細胞!!(第二季),814,1-8,2021,冬,喵萌奶茶屋
Healin’ Good ♥ 光之美少女,687,1-45,2020,冬,雪飄
A3! SEASON SPRING & SUMMER,681,1-12,2020,冬,喵萌奶茶屋
體操武士,795,1-11,2020,秋,喵萌奶茶屋
你與我最後的戰場，亦或是世界起始的聖戰,789,1-12,2020,秋,極影
Love Live! 虹咲學園學園偶像同好會,765,1-13,2020,秋,極影
土下座跪求給看,783,1-12,2020,秋,悠哈璃羽
大貴族,790,1-13,2020,秋,-
Assault Lily Bouquet,747,1-12,2020,秋,喵萌奶茶屋
眾神眷顧的男人,792,1-12,2020,秋,-
無能力者娜娜,778,1-13,2020,秋,動漫國
安達與島村(櫻與抱月),780,1-12,2020,秋,千夏&喵萌奶茶屋
戰翼的希格德莉法,767,1-12,2020,秋,喵萌奶茶屋
偶像星願(IDOLiSH7) Second BEAT!,729,1-15,2020,春,-
滿溢的水果塔,785,1-12,2020,秋,桜都
魔法科高中的劣等生 來訪者篇(第二季),770,1-13,2020,秋,八重櫻
全員惡玉,788,1-12,2020,秋,幻櫻
強襲魔女 通往柏林之路(第三季),782,1-12,2020,秋,極影
成神之日,786,1-12,2020,秋,喵萌奶茶屋
請問您今天要來點兔子嗎？ BLOOM(第三季),784,1-12,2020,秋,兔子
熊熊勇闖異世界,777,1-12,2020,秋,喵萌奶茶屋
鐵路浪漫譚,760,1-12,2020,秋,喵萌奶茶屋
憂國的莫里亞蒂,772,1-11,2020,秋,動漫國
池袋西口公園,779,1-12,2020,秋,豌豆
辣妹與恐龍,706,1-12,2020,春,中肯
One Room 第三季,768,1-12,2020,秋,喵萌奶茶屋
在魔王城說晚安,774,1-12,2020,秋,喵萌奶茶屋
黃金神威 第三季,773,1-12,2020,秋,幻櫻
排球少年！！ TO THE TOP (第四季),685,1-25,2020,冬/秋,Dymy
魔女之旅,758,1-12,2020,秋,喵萌奶茶屋
總之就是很可愛,762,1-12,2020,秋,澄空學園&雪飄
在地下城尋求邂逅是否搞錯了什麼Ⅲ (第三季),763,1-12,2020,秋,DHR&茉語星夢
攀岩少女！,771,1-12,2020,秋,動漫國
關於我轉生變成史萊姆這檔事,401,1-25+OAD1-5,2018,秋,漫貓&愛戀
炎炎消防隊 貳之章(第二季),730,1-24,2020,夏,Dymy
黃金神威,334,1-12+OAD1-4,2018,春,幻櫻
我立於百萬生命之上,766,1-12,2020,秋,喵萌奶茶屋
無限住人 -IMMORTAL-,634,1-24,2019,秋,雪飄
想哭的我戴上了貓的面具,761,劇場版,2020,春,喵萌奶茶屋
文豪與鍊金術師～審判的齒輪～,759,1-13,2020,春,-
Re:從零開始的異世界生活 OVA,545,Memory Snow+冰結之絆,2018,秋,動漫國&KNA&輕之國度
HELLO WORLD,757,劇場版,2019,夏,喵萌奶茶屋
ANOTHER WORLD,756,1-3,2019,夏,喵萌奶茶屋
劇場版 為了誰的鍊金術師,755,劇場版,2019,春,喵萌奶茶屋
鳴鳥不飛：烏雲密布,754,劇場版,2020,冬,喵萌奶茶屋
高校艦隊 劇場版,753,劇場版,2020,冬,喵萌奶茶屋
戀與製作人,752,1-12,2020,夏,星空
哥布林殺手 -GOBLIN’S CROWN-,751,劇場版,2020,冬,動漫國
不起眼女主角培育法 Fine,750,劇場版,2019,秋,動漫國
知道天空有多藍的人啊,749,劇場版,2019,秋,極影
天氣之子,748,劇場版,2019,夏,動漫國
刀劍神域 Alicization War of Underworld (第三季下),612,0-23,2019/2020,2019秋/2020夏,悠哈璃羽&拉斯觀測組
詐騙之王 Great Pretender(大欺詐師),746,1-23,2020,夏,SweetSub
DECA-DENCE,745,1-13,2020,夏,極影
ARGONAVIS from BanG Dream!,744,1-13,2020,春,喵萌奶茶屋
魔物娘的醫生,743,1-12,2020,夏,桜都
彼得·格里爾的賢者時間,742,1-12,2020,夏,喵萌奶茶屋
富豪刑警 Balance: UNLIMITED,741,1-11,2020,春,幻櫻
巨人族的新娘,740,1-9,2020,夏,極影
高校之神,736,1-13,2020,夏,喵萌奶茶屋
馬娘四格,737,1-12,2020,夏,DHR百合組
食戟之靈 豪之皿(第五季),735,1-13,2020,春,極影
魔王學院的不適任者～史上最強的魔王始祖，轉生就讀子孫們的學校～,734,1-13,2020,夏,喵萌奶茶屋
Lapis Re:LiGHTs,732,1-12,2020,夏,喵萌奶茶屋
白貓 Project ZERO CHRONICLE,715,1-12,2020,春,喵萌奶茶屋
出租女友,731,1-12,2020,夏,喵萌奶茶屋
BanG Dream! 3rd Season(第三季),661,1-13,2020,冬,極影
科學超電磁砲T,674,1-25,2020,冬,澄空學園&動漫國
隱瞞之事,699,1-12,2020,春,喵萌奶茶屋
掠奪者,665,1-24,2020,冬,-
天晴爛漫！,695,1-13,2020,春,喵萌奶茶屋
八男？別鬧了！,698,1-12,2020,春,極影
小書痴的下剋上：為了成為圖書管理員不擇手段！ 第二季,707,15-26,2020,春,DHR
阿爾蒂,705,1-12,2020,春,極影
聽我的電波吧,704,1-12,2020,春,星空
轉生成女性向遊戲只有毀滅END的壞人大小姐,708,1-12,2020,春,喵萌奶茶屋
〈Infinite Dendrogram〉-無盡連鎖-,669,1-13,2020,冬,-
果然我的青春戀愛喜劇搞錯了。完 (第三季),728,1-12,2020,夏,動漫國
昨日之歌,702,1-12,2020,春,豌豆&風之聖殿
LISTENERS,703,1-12,2020,春,喵萌奶茶屋
八十龜觀察日記 第二季,659,1-12,2020,冬,小花花同盟戰線
新櫻花大戰 the Animation,700,1-12,2020,春,喵萌奶茶屋
社長，戰鬥的時間到了！,712,1-12,2020,春,輕之國度
非槍人生 NO GUNS LIFE 第二季,725,1-12,2020,夏,喵萌奶茶屋
啄木鳥偵探社,723,1-12,2020,春,極影
小邪神飛踢’(邪神與廚二病少女’) 第二季,724,1-12,2020,春,幻櫻
繼怪怪守護神 (第二季),709,1-12,2020,春,喵萌奶茶屋
宇崎學妹想要玩！,722,1-12,2020,夏,喵萌奶茶屋
格萊普尼爾,710,1-12,2020,春,喵萌奶茶屋
球詠,696,1-12,2020,春,桜都
幻影天使 (魔法水果籃) 第二季,719,1-25,2020,春,喵萌奶茶屋
放學後堤防日誌,718,1-12,2020,春,DHR百合組
動物新世代 BNA,716,1-12,2020,春,喵萌奶茶屋
超異域公主連結 Re:Dive,714,1-13,2020,春,風之聖殿&動漫國
閃亮 美妙☆頻道 第三季,713,連載中(01),2020,春,風之聖殿
我的英雄學院 第四季,636,1-25,2019,秋,桜都
PSYCHO-PASS 心靈判官3 FIRST INSPECTOR ,697,1-3,2020,冬,極影
Pet(思維覆寫),653,1-13,2020,冬,喵萌奶茶屋
閃亮 美妙☆頻道 第二季,529,1-51,2019,春,風之聖殿
籃球少年王,596,連載中(25),2019,秋,-
魔術士歐菲 流浪之旅,662,1-13,2020,冬,-
異世界四重奏 第二季,680,1-12,2020,冬,幻之
鑽石王牌 act2,509,1-52,2019,春,諸神
咯咯咯鬼太郎 第六季,327,1-97,2018,春,-
夢幻之星 Online 2 神諭篇章 (EPISODE ORACLE),620,1-25,2019,秋,-
異獸魔都,682,1-12,2020,冬,喵萌奶茶屋
請在伸展台上微笑,675,1-12,2020,冬,喵萌奶茶屋
異種族風俗娘評鑑指南,660,1-12+SP,2020,冬,悠哈璃羽
為美好的世界獻上祝福！紅傳說,693,劇場版,2019,夏,幻之
虛構推理,656,1-12,2020,冬,喵萌奶茶屋
魔法紀錄 魔法少女小圓外傳,652,1-13,2020,冬,SweetSub&圓環記錄攻略組
22/7,678,1-12,2020,冬,喵萌奶茶屋
暗黑破壞神在身邊。,677,1-12,2020,冬,DHR
偶像學園 on Parade！,609,1-25,2019,秋,雪飄
緣結熊本,666,1-12,2020,冬,幻櫻
碧藍幻想 第二季,608,1-12+Extra1,2019,秋,雪飄&澄空
織田肉桂信長,676,1-12,2020,冬,幻櫻
戀愛中的小行星,650,1-12,2020,冬,千夏
地縛少年花子君,672,1-12,2020,冬,幻櫻
神推偶像登上武道館我就死而無憾,673,1-12,2020,冬,DHR百合組
寶石商人理察的謎鑑定,671,1-12,2020,冬,豌豆
Rebirth for you,658,連載中(25),2020,冬,喵萌奶茶屋
貓娘樂園(NEKOPARA),668,1-12,2020,冬,千夏
SHOW BY ROCK!! Mashumairesh!!,670,1-12,2020,冬,-
奇幻☆怪盜？,667,1-12,2020,冬,喵萌奶茶屋
索瑪麗與森林之神,649,1-12,2020,冬,喵萌奶茶屋
花牌情緣 第三季,639,1-24,2019,秋,極影
怕痛的我，把防禦力點滿就對了,663,1-12,2020,冬,-
七大罪 眾神的逆鱗 (第三季),625,1-24,2019,秋,豌豆
房間露營△,657,1-12,2020,冬,DHR百合組
別對映像研出手！,655,1-12,2020,冬,喵萌奶茶屋
ID:INVADED,654,1-13,2020,冬,SweetSub
Fate/Grand Order -絕對魔獸戰線巴比倫尼亞-,587,1-21,2019,秋,雪飄
達爾文遊戲,651,1-11,2020,冬,桜都
碧藍航線,603,1-12,2019,秋,喵萌奶茶屋
紫羅蘭永恆花園 外傳 -永遠與自動手記人偶-,691,劇場版,2020,冬,-
破曉之翼,683,1-7,2020,冬,官方
薄暮,690,劇場版,2019,春,喵萌奶茶屋
理科生墜入情網，故嘗試證明。,689,1-12,2020,冬,-
number24,664,1-12,2020,冬,-
小書痴的下剋上：為了成為圖書管理員不擇手段！,597,1-14+OVA,2019,秋,千夏&喵萌奶茶屋
一拳超人 第二季,510,0-12+OVA1-4,2019,春,幻櫻
入間同學入魔了！,610,1-23,2019,秋,桜都
空挺 Dragons,684,1-12,2020,冬,極影
實況主的逃脫遊戲【直播中】,560,1-12+OVA,2019,夏,DHR
平凡職業造就世界最強,566,1-13+OVA1-2,2019,夏,喵萌奶茶屋
Radiant 虛空魔境 第二季,605,1-21,2019,秋,-
巴比倫 BABYLON,627,1-12,2019,秋,極影
普羅米亞 (PROMARE),688,劇場版,2019,春,喵萌奶茶屋
NULL & PETA,607,1-12+OVA,2019,秋,喵萌奶茶屋
噬血狂襲 OVA 消失的聖槍篇,686,OVA,2020,冬,幻之
在地下城尋求邂逅是否搞錯了什麼Ⅱ (第二季),576,1-12+OVA,2019,夏,極影
星光☆閃亮 光之美少女,502,1-49,2019,冬,雪飄
怪怪守護神,88,1-12+OVA,2017,春,千夏
神田川 JET GIRLS,622,1-12+13,2019,秋,桜都
美妙射擊部(Rifle is Beautiful),637,1-12,2019,秋,-
為什麼老師會在這裡！？,528,1-12+13,2019,春,DHR
天華百劍 ～歡迎來到銘治館！～,640,1-12,2019,秋,喵萌奶茶屋
非洲的動物上班族,638,1-12,2019,秋,漫貓&愛戀
炎炎消防隊,558,1-24,2019,夏,Dymy
Fairy Gone 第二季,629,1-12,2019,秋,喵萌奶茶屋
擺出討厭的表情露出內褲 第二季,646,1-6,2019,秋,悠哈璃羽
警視廳 特務部 特殊兇惡犯對策室 第七課 -特7-,616,1-12,2019,秋,喵萌奶茶屋
海盜戰記,564,1-24,2019,夏,豌豆
我們真的學不來！ 第二季,614,1-13,2019,秋,幻櫻
一弦定音！ 第二季,613,1-13,2019,秋,時雨初空
真・中華一番！,633,1-12,2019,秋,-
食戟之靈 神之皿 (第四季),632,1-12,2019,秋,極影
慎重勇者～這個勇者明明超 TUEEE 卻過度謹慎！～,595,1-12,2019,秋,漫貓&愛戀
星合之空,631,1-12,2019,秋,星空
非槍人生 NO GUNS LIFE,630,1-12,2019,秋,喵萌奶茶屋
刺客守則,628,1-12,2019,秋,時雨初空
鋼彈創鬥者 潛網大戰(高達創形者) Re:RISE,626,1-13,2019,秋,官方
BEASTARS,602,1-12,2019,秋,喵萌奶茶屋
喜歡本大爺的竟然就妳一個？,598,1-12,2019,秋,輕之國度
Z/X Code reunion,621,1-12,2019,秋,-
募戀英雄 (Stand My Heroes) PIECE OF TRUTH,619,1-12,2019,秋,-
我不是說了能力要平均值嗎？,618,1-12,2019,秋,千夏
歌塑世界 -Songs Connection-,617,1-12,2019,秋,-
偶像夢幻祭,561,1-24,2019,夏,幻櫻
高分少女 第二季,642,1-9,2019,秋,喵萌奶茶屋
放學後桌遊俱樂部,599,1-12,2019,秋,喵萌奶茶屋
戰×戀,611,1-12,2019,秋,-
超人高中生們即便在異世界也能從容生存！,600,1-12,2019,秋,星空
萌獸寵物店(旗揚！獸道),601,1-12,2019,秋,桜都
浦島坂田船的日常,594,1-12,2019,秋,-
PSYCHO-PASS 心靈判官 第三季,641,1-8,2019,秋,極影
廚病激發 BOY,606,1-11,2019,秋,DHR
Dr.STONE 新石紀,551,1-24,2019,夏,豌豆&風之聖殿
銀河英雄傳說 Die Neue These 星亂,593,1-12,2019,秋,漫遊&澄空&天香
